,I_XT,I_YT
0,13.047296978182697,5.878253986569361
1,13.046704534857756,5.877953986569359
2,13.043742318233072,5.876453986569359
3,13.042408355562618,5.875778497819143
4,13.033789864049787,5.871414287193384
5,13.0229553188679,5.868532470130577
6,12.993626803181865,5.856007256534975
7,12.970633820163208,5.8466871407972505
8,12.911948000967513,5.823733098242278
9,12.924733051987413,5.835250077794832
10,12.840943381130739,5.800408219596628
11,12.804994292597101,5.789133894240224
12,12.756939291156215,5.768517382198174
13,12.733072870026962,5.762489557533347
14,12.649754496931706,5.730179098727325
15,12.621064317888333,5.7188510140748745
16,12.549246212176453,5.68833328913895
17,12.542971688828924,5.686473961303738
18,12.518944719968498,5.676940040224889
19,12.48601976019268,5.663391050385634
20,12.459081617661695,5.650782106874263
21,12.430655065131745,5.640010332173697
22,12.389624709302701,5.622069328658646
23,12.37760129478064,5.61676859247842
24,12.379491755694662,5.617725879446362
25,12.36554518086519,5.612542980513147
26,12.337143918742743,5.599649514969371
27,12.32482425661967,5.593904472551323
28,12.302945204640512,5.587872092709364
29,12.277462940352947,5.577197021978817
30,12.283442294444608,5.581643959467601
31,12.25051652028895,5.568058109154095
32,12.265464057797274,5.573657566016248
33,12.25311230040949,5.586458357727528
34,12.224321336404625,5.558176725623505
35,12.200764047973035,5.560825921248139
36,12.187298535375213,5.551927642542293
37,12.172853410761636,5.547743631204834
38,12.146098176633885,5.546257914291439
39,12.118223557876792,5.540454568434245
40,12.103559947689451,5.5368106891019675
41,12.027628896595239,5.520102381448498
42,12.014040314666602,5.519779537801171
43,11.996063234826956,5.513132013675835
44,11.899826264081629,5.488742843386197
45,11.791817199941349,5.456958224656163
46,11.784249955848608,5.454136190670472
47,11.743792952452004,5.441227987487383
48,11.615624554002164,5.400631621711396
49,11.40343476495227,5.329142121809753
50,11.181003502441765,5.250232374219729
51,10.905050634455627,5.147920160013102
52,10.765097988265325,5.094279242025146
53,10.585502694470133,5.024741236960594
54,10.46505175254078,4.977155920562691
55,10.328715746810424,4.923050083622126
56,10.22302017861363,4.88060835533443
57,10.108939621081795,4.834470706990589
58,10.028818427647547,4.8019121623535765
59,9.997430697821159,4.7890065028469175
60,9.917737656718305,4.7563417319259225
61,9.846166547379406,4.72680425486213
62,9.789455108624903,4.703564904598296
63,9.743872399902028,4.684686690686221
64,9.678964680386274,4.657651688038052
65,9.628540112566245,4.6366799391899525
66,9.598127338115493,4.6240277949287
67,9.579229735567324,4.616169058423703
68,9.521163902242257,4.591837411840964
69,9.485981143743228,4.577054086974596
70,9.441180246671198,4.558239489815244
71,9.40744283905071,4.544039475579669
72,9.372802662196335,4.529471450003947
73,9.353928494221496,4.521499345397564
74,9.324772817594049,4.509205260522726
75,9.290330169877151,4.494647163740451
76,9.26502852571015,4.483918385261577
77,9.238180537464295,4.472550031114202
78,9.21110872484665,4.4611132610751145
79,9.202014203311688,4.457282911084602
80,9.16144693281541,4.43996766733754
81,9.148239859040343,4.434402908252456
82,9.13126569581981,4.42713152203802
83,9.090189442898499,4.409676594777052
84,9.08629024292844,4.408005129818779
85,9.070333756805681,4.401236024307041
86,9.048345042272853,4.391810541635586
87,9.036616428580222,4.38677390998116
88,9.011775770780577,4.3761948809336095
89,9.012443887821846,4.376433402754101
90,8.983595107082321,4.364115386069091
91,8.964826272835824,4.35609939405711
92,8.951167360320724,4.350271335340219
93,8.932827388035022,4.342414971751982
94,8.919791809391963,4.336798871766059
95,8.906276185643243,4.3310359584059706
96,8.8930324038696,4.325310416784824
97,8.888133514182279,4.32322152208451
98,8.88077094978831,4.320080406223987
99,8.863683190549597,4.3126973140837235
100,8.852637028377803,4.307980993008116
101,8.849107810037305,4.306485941423534
102,8.830143441130728,4.298243561914307
103,8.826980500108164,4.296933034674024
104,8.81444703935501,4.291555550450242
105,8.809974327177315,4.289581062514345
106,8.802164044496113,4.286206398998651
107,8.782432236680027,4.2777110436569945
108,8.775702699459595,4.274832771298507
109,8.770720278892757,4.272743301557729
110,8.766331166611534,4.270856852661656
111,8.761051779086408,4.268567860497136
112,8.746577970165283,4.262342736796671
113,8.732197822074816,4.256114292684372
114,8.728941853353623,4.254705352723382
115,8.715887554983443,4.2490502846096225
116,8.719281429747662,4.250529415704727
117,8.714554754661755,4.248470819506106
118,8.707632784867961,4.245489397466194
119,8.70297720952977,4.243513051998184
120,8.700234107396437,4.242314466496094
121,8.688776427971789,4.237368744479882
122,8.680838618541909,4.2339677384014855
123,8.667705458575373,4.228265979847921
124,8.66457522089597,4.226916600695506
125,8.650556106943736,4.2208584607059505
126,8.643094760358203,4.217601130873124
127,8.63348596628217,4.213490387801178
128,8.635554919615561,4.214349430275775
129,8.626722683224077,4.210582555572789
130,8.615726218715498,4.205767180138173
131,8.615042632081853,4.205515072672473
132,8.607385462520838,4.202201563609689
133,8.600079144892346,4.19901978560869
134,8.589272628261838,4.194297833182057
135,8.57984547981291,4.19027326323046
136,8.573696149575632,4.187533532784786
137,8.566622704336943,4.184512415103524
138,8.55836269499763,4.1808898345556065
139,8.558165213889318,4.180789834555605
140,8.553842497332113,4.1789739697036135
141,8.549810047747641,4.177211645868327
142,8.542336339479672,4.1739859065257106
143,8.534466001776604,4.170558714212029
144,8.527873202249214,4.167684946278505
145,8.525709713954408,4.166775157586137
146,8.522163673424956,4.16516520819705
147,8.517638293816109,4.16324482778439
148,8.515079106105535,4.162134396988299
149,8.505037997485331,4.1577910725190925
150,8.504840516377019,4.157691072519093
151,8.498044943861661,4.154712695979021
152,8.49479647115237,4.153345191419744
153,8.494401508935745,4.153145191419744
154,8.48819654815507,4.150465220646251
155,8.485437770321662,4.149252953885994
156,8.481398001663006,4.147484255754967
157,8.474304638450512,4.144445788107292
158,8.472826030123347,4.143789238111748
159,8.466024749263642,4.140805894448887
160,8.462575374771543,4.139335413801719
161,8.457448956851211,4.137107553521869
162,8.456659032417962,4.136707553521869
163,8.452124332211898,4.13477906233624
164,8.44867346114659,4.133307280444709
165,8.447193945089888,4.132649941125076
166,8.442065353069296,4.130420190766346
167,8.44246031528592,4.130620190766346
168,8.438020953503745,4.128647465646092
169,8.434173628806299,4.12697438749158
170,8.434173628806299,4.12697438749158
171,8.427365557039053,4.123985140379074
172,8.424109594220019,4.122611122596587
173,8.42174124629414,4.121594915336405
174,8.416411567770314,4.119262032330734
175,8.411476133079653,4.1171285253982335
176,8.406539980898817,4.114994395401248
177,8.400418225469007,4.112259643199934
178,8.401010668793944,4.1125596431999325
179,8.396073084303769,4.110424269652247
180,8.39696195553607,4.110783171243552
181,8.392221315953524,4.108747332247816
182,8.386690037777699,4.106310873401896
183,8.384928881533515,4.105558628534669
184,8.383429775996877,4.104933123003373
185,8.381750489649612,4.104173795557773
186,8.380861083210823,4.103814429477908
187,8.373171682339073,4.10042398662431
188,8.37167177597394,4.099797786272053
189,8.368904801744762,4.098578398401988
190,8.369712604735525,4.098945078190601
191,8.367027545270915,4.097718646707266
192,8.362003326625121,4.095586221767022
193,8.360718291742025,4.095026277759406
194,8.352809671385739,4.091565807286673
195,8.355577709286003,4.092786117628676
196,8.35646795909474,4.09314621525017
197,8.345492579322041,4.088362177532907
198,8.344504496731211,4.087903956410065
199,8.338668449883986,4.085401361572271
